Tree_Sp_Name,Eq_1,Eq_2,Eq_3,Eq_4,Eq_5,Notes 
Corallus_cropanii,,,,,,
Corallus_hortulanus,,,,,,
Simalia_clastolepis,,,,,,
Simalia_oenpelliensis,,,,,,
Bothrochilus_huonensis,,,,,,
Bothrochilus_albertisii,,,,,,
Bothrochilus_biakensis,,,,,,
Bothrochilus_fredparkeri,,,,,,
Liasis_papuana,,,,,,
Leiopython_meridionalis,,,,,,
Leiopython_montanus,,,,,,
Antaresia_stimsoni,,,,,,
Anomochilus_weberi,,,,,,
Anomochilus_monticola,,,,,,
Cylindrophis_engkariensis,,,,,,
Cylindrophis_aruensis,,,,,,
Cylindrophis_lineatus,,,,,,
Plectrurus_canaricus,,,,,,
Brachyophidium_rhodogaster,,,,,,
Uropeltis_phillipsi,,,,,,
Uropeltis_melanogaster,,,,,,
Rhinophis_tricolorata,,,,,,
Pseudotyphlops_philippinus,,,,,,
Rhinophis_porrectus,,,,,,
Rhinophis_goweri,,,,,,
Rhinophis_fergusonianus,,,,,,
Uropeltis_macrorhyncha,,,,,,
Uropeltis_ceylanicus,,,,,,
Uropeltis_rubromaculatus,,,,,,
Uropeltis_broughami,,,,,,
Uropeltis_smithi,,,,,,
Uropeltis_ruhunae,,,,,,
Platyplectrurus_trilineatus,,,,,,
Tropidophis_parkeri,,,,,,
Tropidophis_xanthogaster,,,,,,
Tropidophis_jamaicensis,,,,,,
Tropidophis_stejnegeri,,,,,,
Tropidophis_preciosus,,,,,,
Tropidophis_morenoi,,,,,,
Tropidophis_pilsbryi,,,,,,
Tropidophis_battersbyi,,,,,,
Tropidophis_fuscus,,,,,,
Tropidophis_celiae,,,,,,
Tropidophis_stullae,,,,,,
Tropidophis_schwartzi,,,,,,
Anomalepis_mexicanus,,,,,,
Liotyphlops_haadi,,,,,,
Liotyphlops_schubarti,,,,,,
Liotyphlops_trefauti,,,,,,
Madatyphlops_platyrhynchus,,,,,,
Madatyphlops_madagascariensis,,,,,,
Madatyphlops_cuneirostris,,,,,,
Madatyphlops_leucocephalus,,,,,,
Madatyphlops_calabresii,,,,,,
Argyrophis_trangensis,,,,,,
Argyrophis_hypsobothrius,,,,,,
Argyrophis_bothriorhynchus,,,,,,
Argyrophis_fuscus,,,,,,
Argyrophis_giadinhensis,,,,,,
Argyrophis_klemmeri,,,,,,
Xerotyphlops_socotranus,,,,,,
Xerotyphlops_etheridgei,,,,,,
Xerotyphlops_wilsoni,,,,,,
Cyclotyphlops_deharvengi,,,,,,
Ramphotyphlops_supranasalis,,,,,,
Ramphotyphlops_willeyi,,,,,,
Ramphotyphlops_bipartitus,,,,,,
Ramphotyphlops_hatmaliyeb,,,,,,
Ramphotyphlops_marxi,,,,,,
Ramphotyphlops_conradi,,,,,,
Ramphotyphlops_acuticaudus,,,,,,
Ramphotyphlops_lorenzi,,,,,,
Ramphotyphlops_similis,,,,,,
Acutotyphlops_banaorum,,,,,,
Anilios_nigricaudus,,,,,,
Anilios_polygrammicus,,,,,,
Anilios_aspinus,,,,,,
Anilios_leptosomus,,,,,,
Anilios_micrommus,,,,,,
Anilios_nigroterminatus,,,,,,
